medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Acrylic,You know how excited I am,Prints,11,171,Canvas,Fantasy,Yeji Jun,2013-10-09.000,4,28.5  H x  45.6  W x  2  in,South Korea,$3050.00,(14)
"Gouache, Acrylic",Frida Flower,,78,79,Wood,Portrait,adeline meilliez,2017-01-01.000,0,27.6  H x  19.7  W x  1.2  in,Germany,$660.00,(36)
"Acrylic, Spray Paint",untitled,Prints,54,196,"Paper, Wood",Abstract,Margaret Glew,2015-05-01.000,2,36  H x  36  W x  2  in,Canada,$2750.00,(40)
"gouache, gouache ink, pencil",Red Ibis,,1,117,Paper,Animal,Danielle Frenken,2015-04-24.000,0,16.5  H x  11.8  W x  0  in,Netherlands,$710.00,(4)
"Acrylic, Pastel","Pirámides del Sol y Luna, Teotihuacán",Prints,2,22,Canvas,Abstract,Michelle Sutherland,2017-01-01.000,0,23.5  H x  19.5  W x  1  in,United States,$1000.00,(12)
"Acrylic, Ink",Sonic Horizon,Prints,0,3,Paper,Abstract,Cynthia Roberts,2017-01-01.000,0,22  H x  28  W x  1  in,United States,$400.00,(13)
Watercolor,#46 Landscape,,0,43,Paper,Landscape,Ethan Froese,2000-11-20.000,1,10  H x  8.5  W x  0.1  in,United States,$395.00,(69)
Oil,Gone but not forgotten 2,,0,20,Canvas,People,Melissa Feinberg,2011-02-26.000,0,8  H x  12  W x  0.1  in,United States,$210.00,(27)
Oil,Abundant Life,,8,235,Wood,People,Michele Davidson,2013-09-01.000,1,30.3  H x  17.7  W x  0.8  in,South Africa,$830.00,(5)
Acrylic,Iris Bouquet,,0,10,Canvas,Floral,Janak Narayan,2017-01-01.000,0,48  H x  24  W x  0.5  in,United States,$1960.00,(6)
Acrylic,Fantasy Naure,,0,35,Canvas,Fantasy,Gena Theheartofart,2015-11-07.000,0,70  H x  120  W x  3  in,Netherlands,$2100.00,(8)
Acrylic,A the foot of the mountain,,5,42,Canvas,Landscape,sandy mann,2015-01-01.000,0,16  H x  20  W x  1.5  in,United States,$405.00,(24)
Acrylic,Catherine,Prints,3,76,Canvas,Pop Culture/Celebrity,Elia Pagliarino,2014-06-12.000,1,39.4  H x  39.4  W x  1.6  in,France,$2950.00,(37)
"Oil, Paper",Look at me (draft),,0,76,Paper,Portrait,Katerina Dankina,2014-04-07.000,0,19.7  H x  27.6  W x  0.4  in,Russia,$580.00,(5)
Paint,THE BEACH so clear sea in south Italy,,0,45,Other,Seascape,Daniela Lecchi,2016-01-06.000,0,35.4  H x  35.4  W x  0.4  in,Italy,$1390.00,(14)
Acrylic,Twisted Tale,,3,55,Canvas,Abstract,Carl Jordan,2016-01-01.000,1,24  H x  36  W x  1.5  in,United States,$490.00,(10)
Oil,SelbstverlorenSchwerelos,Prints,77,165,Canvas,Body,Edgar Leissing,2015-06-01.000,1,59.1  H x  59.1  W x  1.2  in,Austria,$8700.00,(110)
oil,Narcissus,Prints,9,62,"Canvas, Cardboard",Botanic,Janina Grinevich,2015-03-25.000,1,13  H x  9.4  W x  1  in,Latvia,$225.00,(66)
Paper,Sailboat,,1,37,"Glass, Wood",Boat,Nikolay Marinov,2015-01-01.000,1,11  H x  14.8  W x  3.3  in,Bulgaria,$830.00,(4)
"Resin, Acrylic, Paper, Oil, Wood",Honey Bee,Prints,0,77,Wood,Animal,agata ren,2015-10-31.000,1,26  H x  36  W x  3  in,United States,$2450.00,(2)
"Acrylic, Oil","ZUSAMMEN SIND WIR VIELE, GEMEINSAM IST ES VOLL/TOGETHER WE ARE MANY, TOGETHER IT IS FULL",,2,100,Canvas,People,MAIKE GUENTHER,2015-01-01.000,0,35.4  H x  55.1  W x  1.6  in,Germany,$2610.00,(5)
"Watercolor, Ballpoint Pen",Invitation,,3,128,Paper,Still Life,Olga Skorobogatova,2015-01-01.000,1,15.7  H x  11.8  W x  0.1  in,Ukraine,$320.00,(12)
Acrylic,BOSTON MAN,Prints,0,45,Paper,Popular culture,Alan Gross,2014-04-16.000,0,10  H x  8  W x  0  in,United States,$385.00,(8)
Acrylic,The riddle,,4,76,Canvas,Aerial,Alexis Avlamis,2015-04-01.000,0,44.5  H x  44.5  W x  0  in,Greece,$2750.00,(57)
Acrylic,inaction,,57,52,Wood,Landscape,Kuba Zeligowski,2017-01-01.000,4,19.7  H x  44.1  W x  2.4  in,Poland,$1290.00,(70)
Acrylic,Nude-2,Prints,46,154,Canvas,Nude,Neela Li,2015-03-27.000,1,22  H x  15  W x  0.2  in,India,$880.00,(62)
Acrylic,Riding Kaos: Truth and The Journey,,0,44,Canvas,Abstract,Benini Benini,2010-01-01.000,1,46  H x  46  W x  3  in,United States,$31000.00,(2)
Oil,Back To Blue,Prints,2,40,Canvas,Women,Seung Yim,2016-01-01.000,0,16  H x  17  W x  1.5  in,United States,$1700.00,(10)
"Acrylic, Ink, Color",Ice - New Technique,,12,67,"Canvas, Other, Steel",Abstract,Patrizia Pane,2016-01-01.000,1,11.8  H x  11.8  W x  0.6  in,Italy,$1950.00,(25)
Watercolor,Book with Bottle and Spoon,,0,27,Paper,Kitchen,Alix Travis,2016-01-01.000,0,14  H x  10  W x  0.1  in,United States,$290.00,(16)
Oil,"Coverack, Cornwall",,0,472,Canvas,Beach,Terence Eldridge,2014-08-06.000,0,31  H x  39  W x  1.5  in,United Kingdom,$2750.00,(12)
Oil,Guess my dream,,4,137,"Canvas, Other",Women,Andrey Polunin,2016-01-01.000,1,27.6  H x  19.7  W x  1.1  in,Russia,$440.00,(48)
Acrylic,Portrait 06-3,,1,33,Paper,Portrait,Hamid Rahmati,2006-01-01.000,0,11  H x  8  W x  0.1  in,Germany,$600.00,(25)
"Spray Paint, Resin",We the People,,1,75,Canvas,Political,Mariia Rykhlovska,2017-01-01.000,1,24  H x  36  W x  0.8  in,,$2710.00,(11)
Oil,Hold that pose,,0,14,Canvas,Nude,Leah Pavlou,2016-02-16.000,0,15.7  H x  11.8  W x  0.8  in,United Kingdom,$395.00,(2)
Oil,Into the Pond #2,Prints,7,114,Canvas,Nature,Nan Hass Feldman,2015-06-18.000,1,30  H x  40  W x  1.5  in,United States,$4610.00,(42)
Oil,Chaos Driving 030,Prints,0,40,Canvas,People,Yu Bi,2015-08-16.000,0,35.8  H x  29  W x  1  in,South Korea,$1790.00,(2)
Acrylic,Kvadkrug2a,,0,824,Canvas,Geometric,Youri Chasov,2010-01-01.000,0,15.7  H x  19.7  W x  0.8  in,Estonia,$2300.00,(37)
Oil,Drenched horizon,Prints,44,110,Canvas,Nature,Swapna Namboodiri,2015-06-12.000,2,19.6  H x  19.6  W x  1.5  in,Qatar,$830.00,(24)
"Acrylic, Spray Paint, Fabric, Household, Paint",Repurposed (part of diptych),,16,214,"Aluminium, Canvas, Soft (Yarn, Cotton, Fabric), Other",Technology,Cori Redstone,2015-01-01.000,0,96  H x  60  W x  2  in,United States,$2950.00,(16)
Oil,winter beach,Prints,5,26,Canvas,Beach,craig mcleod,2016-02-01.000,0,13  H x  10  W x  1  in,Portugal,$785.00,(22)
Oil,Pirate Ship-Sausalito,Prints,4,161,Canvas,Landscape,Prabin Badhia,2015-05-05.000,1,18  H x  24  W x  1  in,United States,$660.00,(6)
